"Sample" "Family.ID" "Population" "Population.Description" "Gender" "Relationship" "superpop"
"588" "HG01351" "CLM29" "CLM" "Colombian in Medellin, Colombia" "female" "mother" "AMR"
"589" "HG01352" "CLM29" "CLM" "Colombian in Medellin, Colombia" "female" "child" "AMR"
"590" "HG01353" "CLM30" "CLM" "Colombian in Medellin, Colombia" "male" "father" "AMR"
"591" "HG01354" "CLM30" "CLM" "Colombian in Medellin, Colombia" "female" "mother" "AMR"
"592" "HG01355" "CLM30" "CLM" "Colombian in Medellin, Colombia" "female" "child" "AMR"
"593" "HG01356" "CLM31" "CLM" "Colombian in Medellin, Colombia" "male" "father" "AMR"
"594" "HG01357" "CLM31" "CLM" "Colombian in Medellin, Colombia" "female" "mother" "AMR"
"595" "HG01358" "CLM31" "CLM" "Colombian in Medellin, Colombia" "male" "child" "AMR"
"596" "HG01359" "CLM32" "CLM" "Colombian in Medellin, Colombia" "male" "father" "AMR"
"597" "HG01360" "CLM32" "CLM" "Colombian in Medellin, Colombia" "female" "mother" "AMR"
"598" "HG01361" "CLM32" "CLM" "Colombian in Medellin, Colombia" "female" "child" "AMR"
"599" "HG01362" "CLM33" "CLM" "Colombian in Medellin, Colombia" "male" "father" "AMR"
"600" "HG01363" "CLM33" "CLM" "Colombian in Medellin, Colombia" "female" "mother" "AMR"
"601" "HG01364" "CLM33" "CLM" "Colombian in Medellin, Colombia" "female" "child" "AMR"
"602" "HG01365" "CLM34" "CLM" "Colombian in Medellin, Colombia" "male" "father" "AMR"
"603" "HG01366" "CLM34" "CLM" "Colombian in Medellin, Colombia" "female" "mother" "AMR"
"604" "HG01367" "CLM34" "CLM" "Colombian in Medellin, Colombia" "female" "child" "AMR"
"605" "HG01369" "CLM35" "CLM" "Colombian in Medellin, Colombia" "female" "mother" "AMR"
"606" "HG01372" "CLM36" "CLM" "Colombian in Medellin, Colombia" "female" "mother" "AMR"
"607" "HG01374" "CLM37" "CLM" "Colombian in Medellin, Colombia" "male" "father" "AMR"
"608" "HG01375" "CLM37" "CLM" "Colombian in Medellin, Colombia" "female" "mother" "AMR"
"609" "HG01376" "CLM37" "CLM" "Colombian in Medellin, Colombia" "female" "child" "AMR"
"610" "HG01377" "CLM38" "CLM" "Colombian in Medellin, Colombia" "male" "father" "AMR"
"611" "HG01378" "CLM38" "CLM" "Colombian in Medellin, Colombia" "female" "mother" "AMR"
"612" "HG01379" "CLM38" "CLM" "Colombian in Medellin, Colombia" "female" "child" "AMR"
"613" "HG01383" "CLM40" "CLM" "Colombian in Medellin, Colombia" "male" "father" "AMR"
"614" "HG01384" "CLM40" "CLM" "Colombian in Medellin, Colombia" "female" "mother" "AMR"
"615" "HG01385" "CLM40" "CLM" "Colombian in Medellin, Colombia" "female" "child" "AMR"
"616" "HG01389" "CLM42" "CLM" "Colombian in Medellin, Colombia" "male" "father" "AMR"
"617" "HG01390" "CLM42" "CLM" "Colombian in Medellin, Colombia" "female" "mother" "AMR"
"618" "HG01391" "CLM42" "CLM" "Colombian in Medellin, Colombia" "female" "child" "AMR"
"619" "HG01392" "PR70" "PUR" "Puerto Rican in Puerto Rico" "male" "father" "AMR"
"620" "HG01393" "PR70" "PUR" "Puerto Rican in Puerto Rico" "female" "mother" "AMR"
"621" "HG01394" "PR70" "PUR" "Puerto Rican in Puerto Rico" "female" "child" "AMR"
"622" "HG01395" "PR71" "PUR" "Puerto Rican in Puerto Rico" "male" "father" "AMR"
"623" "HG01396" "PR71" "PUR" "Puerto Rican in Puerto Rico" "female" "mother" "AMR"
"624" "HG01397" "PR71" "PUR" "Puerto Rican in Puerto Rico" "female" "child" "AMR"
"625" "HG01398" "PR72" "PUR" "Puerto Rican in Puerto Rico" "male" "father" "AMR"
"626" "HG01402" "PR74" "PUR" "Puerto Rican in Puerto Rico" "male" "father" "AMR"
"627" "HG01403" "PR74" "PUR" "Puerto Rican in Puerto Rico" "female" "mother" "AMR"
"628" "HG01404" "PR74" "PUR" "Puerto Rican in Puerto Rico" "female" "child" "AMR"
"629" "HG01405" "PR75" "PUR" "Puerto Rican in Puerto Rico" "male" "father" "AMR"
"630" "HG01411" "PR63" "PUR" "Puerto Rican in Puerto Rico" "male" "child" "AMR"
"631" "HG01412" "PR76" "PUR" "Puerto Rican in Puerto Rico" "male" "father" "AMR"
"632" "HG01413" "PR78" "PUR" "Puerto Rican in Puerto Rico" "male" "father" "AMR"
"633" "HG01414" "PR78" "PUR" "Puerto Rican in Puerto Rico" "female" "mother" "AMR"
"634" "HG01415" "PR78" "PUR" "Puerto Rican in Puerto Rico" "female" "child" "AMR"
"635" "HG01431" "CLM43" "CLM" "Colombian in Medellin, Colombia" "male" "father" "AMR"
"636" "HG01432" "CLM43" "CLM" "Colombian in Medellin, Colombia" "female" "mother" "AMR"
"637" "HG01433" "CLM43" "CLM" "Colombian in Medellin, Colombia" "male" "child" "AMR"
"638" "HG01435" "CLM44" "CLM" "Colombian in Medellin, Colombia" "female" "mother" "AMR"
"639" "HG01437" "CLM45" "CLM" "Colombian in Medellin, Colombia" "male" "father" "AMR"
"640" "HG01438" "CLM45" "CLM" "Colombian in Medellin, Colombia" "female" "mother" "AMR"
"641" "HG01439" "CLM45" "CLM" "Colombian in Medellin, Colombia" "female" "child" "AMR"
"642" "HG01440" "CLM46a" "CLM" "Colombian in Medellin, Colombia" "male" "father" "AMR"
"643" "HG01441" "CLM46" "CLM" "Colombian in Medellin, Colombia" "female" "mother" "AMR"
"644" "HG01442" "CLM46" "CLM" "Colombian in Medellin, Colombia" "male" "child" "AMR"
"645" "HG01443" "CLM47" "CLM" "Colombian in Medellin, Colombia" "male" "father" "AMR"
"646" "HG01444" "CLM47" "CLM" "Colombian in Medellin, Colombia" "female" "mother" "AMR"
"647" "HG01445" "CLM47" "CLM" "Colombian in Medellin, Colombia" "male" "child" "AMR"
"648" "HG01447" "CLM48" "CLM" "Colombian in Medellin, Colombia" "female" "mother" "AMR"
"649" "HG01452" "CLM50" "CLM" "Colombian in Medellin, Colombia" "male" "father" "AMR"
"650" "HG01453" "CLM50" "CLM" "Colombian in Medellin, Colombia" "female" "mother" "AMR"
"651" "HG01454" "CLM50" "CLM" "Colombian in Medellin, Colombia" "female" "child" "AMR"
"652" "HG01455" "CLM51" "CLM" "Colombian in Medellin, Colombia" "male" "father" "AMR"
"653" "HG01456" "CLM51" "CLM" "Colombian in Medellin, Colombia" "female" "mother" "AMR"
"654" "HG01457" "CLM51" "CLM" "Colombian in Medellin, Colombia" "male" "child" "AMR"
"655" "HG01459" "CLM52" "CLM" "Colombian in Medellin, Colombia" "female" "mother" "AMR"
"656" "HG01461" "CLM53" "CLM" "Colombian in Medellin, Colombia" "male" "father" "AMR"
"657" "HG01462" "CLM53" "CLM" "Colombian in Medellin, Colombia" "female" "mother" "AMR"
"658" "HG01463" "CLM53" "CLM" "Colombian in Medellin, Colombia" "female" "child" "AMR"
"659" "HG01464" "CLM54" "CLM" "Colombian in Medellin, Colombia" "male" "father" "AMR"
"660" "HG01465" "CLM54" "CLM" "Colombian in Medellin, Colombia" "female" "mother" "AMR"
"661" "HG01466" "CLM54" "CLM" "Colombian in Medellin, Colombia" "female" "child" "AMR"
"662" "HG01468" "CLM55" "CLM" "Colombian in Medellin, Colombia" "female" "mother" "AMR"
"663" "HG01471" "CLM56" "CLM" "Colombian in Medellin, Colombia" "female" "" "AMR"
"664" "HG01473" "CLM57" "CLM" "Colombian in Medellin, Colombia" "male" "father" "AMR"
"665" "HG01474" "CLM57" "CLM" "Colombian in Medellin, Colombia" "female" "mother" "AMR"
"666" "HG01477" "CLM58" "CLM" "Colombian in Medellin, Colombia" "female" "mother" "AMR"
"667" "HG01479" "CLM59" "CLM" "Colombian in Medellin, Colombia" "male" "father" "AMR"
"668" "HG01480" "CLM59" "CLM" "Colombian in Medellin, Colombia" "female" "mother" "AMR"
"669" "HG01481" "CLM59" "CLM" "Colombian in Medellin, Colombia" "female" "child" "AMR"
"670" "HG01482" "CLM60" "CLM" "Colombian in Medellin, Colombia" "male" "father" "AMR"
"671" "HG01483" "CLM60" "CLM" "Colombian in Medellin, Colombia" "female" "mother" "AMR"
"672" "HG01484" "CLM60" "CLM" "Colombian in Medellin, Colombia" "female" "child" "AMR"
"673" "HG01485" "CLM61" "CLM" "Colombian in Medellin, Colombia" "male" "father" "AMR"
"674" "HG01486" "CLM61" "CLM" "Colombian in Medellin, Colombia" "female" "mother" "AMR"
"675" "HG01487" "CLM61" "CLM" "Colombian in Medellin, Colombia" "female" "child" "AMR"
"676" "HG01488" "CLM62" "CLM" "Colombian in Medellin, Colombia" "male" "father" "AMR"
"677" "HG01489" "CLM62" "CLM" "Colombian in Medellin, Colombia" "female" "mother" "AMR"
"678" "HG01490" "CLM62" "CLM" "Colombian in Medellin, Colombia" "female" "child" "AMR"
"679" "HG01491" "CLM63" "CLM" "Colombian in Medellin, Colombia" "male" "father" "AMR"
"680" "HG01492" "CLM63" "CLM" "Colombian in Medellin, Colombia" "female" "mother" "AMR"
"681" "HG01493" "CLM63" "CLM" "Colombian in Medellin, Colombia" "female" "child" "AMR"
"682" "HG01494" "CLM64" "CLM" "Colombian in Medellin, Colombia" "male" "father" "AMR"
"683" "HG01495" "CLM64" "CLM" "Colombian in Medellin, Colombia" "female" "mother" "AMR"
"684" "HG01496" "CLM64" "CLM" "Colombian in Medellin, Colombia" "female" "child" "AMR"
"685" "HG01497" "CLM65" "CLM" "Colombian in Medellin, Colombia" "male" "father" "AMR"
"686" "HG01498" "CLM65" "CLM" "Colombian in Medellin, Colombia" "female" "mother" "AMR"
"687" "HG01499" "CLM65" "CLM" "Colombian in Medellin, Colombia" "male" "child" "AMR"
"688" "HG01500" "IBS001" "IBS" "Iberian populations in Spain" "male" "father" "EUR"
"689" "HG01501" "IBS001" "IBS" "Iberian populations in Spain" "female" "mother" "EUR"
"690" "HG01502" "IBS001" "IBS" "Iberian populations in Spain" "male" "child" "EUR"
"691" "HG01503" "IBS002" "IBS" "Iberian populations in Spain" "male" "father" "EUR"
"692" "HG01504" "IBS002" "IBS" "Iberian populations in Spain" "female" "mother" "EUR"
"693" "HG01505" "IBS002" "IBS" "Iberian populations in Spain" "male" "child" "EUR"
"694" "HG01506" "IBS003" "IBS" "Iberian populations in Spain" "male" "father" "EUR"
"695" "HG01507" "IBS003" "IBS" "Iberian populations in Spain" "female" "mother" "EUR"
"696" "HG01508" "IBS003" "IBS" "Iberian populations in Spain" "male" "child" "EUR"
"697" "HG01509" "IBS004" "IBS" "Iberian populations in Spain" "male" "father" "EUR"
"698" "HG01510" "IBS004" "IBS" "Iberian populations in Spain" "female" "mother" "EUR"
"699" "HG01511" "IBS004" "IBS" "Iberian populations in Spain" "female" "child" "EUR"
"700" "HG01512" "IBS005" "IBS" "Iberian populations in Spain" "male" "father" "EUR"
"701" "HG01513" "IBS005" "IBS" "Iberian populations in Spain" "female" "mother" "EUR"
"702" "HG01514" "IBS005" "IBS" "Iberian populations in Spain" "female" "child" "EUR"
"703" "HG01515" "IBS006" "IBS" "Iberian populations in Spain" "male" "father" "EUR"
"704" "HG01516" "IBS006" "IBS" "Iberian populations in Spain" "female" "mother" "EUR"
"705" "HG01517" "IBS006" "IBS" "Iberian populations in Spain" "female" "child" "EUR"
"706" "HG01518" "IBS007" "IBS" "Iberian populations in Spain" "male" "father" "EUR"
"707" "HG01519" "IBS007" "IBS" "Iberian populations in Spain" "female" "mother" "EUR"
"708" "HG01520" "IBS007" "IBS" "Iberian populations in Spain" "female" "child" "EUR"
"709" "HG01521" "IBS008" "IBS" "Iberian populations in Spain" "male" "father" "EUR"
"710" "HG01522" "IBS008" "IBS" "Iberian populations in Spain" "female" "mother" "EUR"
"711" "HG01523" "IBS008" "IBS" "Iberian populations in Spain" "male" "child" "EUR"
"712" "HG01524" "IBS009" "IBS" "Iberian populations in Spain" "male" "father" "EUR"
"713" "HG01525" "IBS009" "IBS" "Iberian populations in Spain" "female" "mother" "EUR"
"714" "HG01526" "IBS009" "IBS" "Iberian populations in Spain" "male" "child" "EUR"
"715" "HG01527" "IBS010" "IBS" "Iberian populations in Spain" "male" "father" "EUR"
"716" "HG01528" "IBS010" "IBS" "Iberian populations in Spain" "female" "mother" "EUR"
"717" "HG01529" "IBS010" "IBS" "Iberian populations in Spain" "male" "child" "EUR"
"718" "HG01530" "IBS011" "IBS" "Iberian populations in Spain" "male" "father" "EUR"
"719" "HG01531" "IBS011" "IBS" "Iberian populations in Spain" "female" "mother" "EUR"
"720" "HG01532" "IBS011" "IBS" "Iberian populations in Spain" "male" "child" "EUR"
"721" "HG01536" "IBS013" "IBS" "Iberian populations in Spain" "male" "father" "EUR"
"722" "HG01537" "IBS013" "IBS" "Iberian populations in Spain" "female" "mother" "EUR"
"723" "HG01538" "IBS013" "IBS" "Iberian populations in Spain" "female" "child" "EUR"
"724" "HG01550" "CLM66" "CLM" "Colombian in Medellin, Colombia" "male" "father" "AMR"
"725" "HG01551" "CLM66" "CLM" "Colombian in Medellin, Colombia" "female" "mother" "AMR"
"726" "HG01552" "CLM66" "CLM" "Colombian in Medellin, Colombia" "male" "child" "AMR"
"727" "HG01556" "CLM68" "CLM" "Colombian in Medellin, Colombia" "male" "father" "AMR"
"728" "HG01565" "PEL001" "PEL" "Peruvian in Lima, Peru" "male" "father" "AMR"
"729" "HG01566" "PEL001" "PEL" "Peruvian in Lima, Peru" "female" "mother" "AMR"
"730" "HG01567" "PEL001" "PEL" "Peruvian in Lima, Peru" "female" "child" "AMR"
"731" "HG01571" "PEL003" "PEL" "Peruvian in Lima, Peru" "male" "father" "AMR"
"732" "HG01572" "PEL003" "PEL" "Peruvian in Lima, Peru" "female" "mother" "AMR"
"733" "HG01573" "PEL003" "PEL" "Peruvian in Lima, Peru" "female" "child" "AMR"
"734" "HG01577" "PEL005" "PEL" "Peruvian in Lima, Peru" "male" "father" "AMR"
"735" "HG01578" "PEL005" "PEL" "Peruvian in Lima, Peru" "female" "mother" "AMR"
"736" "HG01579" "PEL005" "PEL" "Peruvian in Lima, Peru" "male" "child" "AMR"
"737" "HG01583" "PK02" "PJL" "Punjabi in Lahore,Pakistan" "male" "father" "SAS"
"738" "HG01586" "PK03" "PJL" "Punjabi in Lahore,Pakistan" "male" "father" "SAS"
"739" "HG01589" "PK04" "PJL" "Punjabi in Lahore,Pakistan" "male" "father" "SAS"
"740" "HG01590" "PK04" "PJL" "Punjabi in Lahore,Pakistan" "female" "mother" "SAS"
"741" "HG01593" "PK05" "PJL" "Punjabi in Lahore,Pakistan" "female" "mother" "SAS"
"742" "HG01594" "PK05" "PJL" "Punjabi in Lahore,Pakistan" "male" "child" "SAS"
"743" "HG01595" "VN001" "KHV" "Kinh in Ho Chi Minh City, Vietnam" "female" "" "EAS"
"744" "HG01596" "VN002" "KHV" "Kinh in Ho Chi Minh City, Vietnam" "male" "" "EAS"
"745" "HG01597" "VN003" "KHV" "Kinh in Ho Chi Minh City, Vietnam" "female" "" "EAS"
"746" "HG01598" "VN004" "KHV" "Kinh in Ho Chi Minh City, Vietnam" "female" "" "EAS"
"747" "HG01599" "VN005" "KHV" "Kinh in Ho Chi Minh City, Vietnam" "female" "" "EAS"
"748" "HG01600" "VN006" "KHV" "Kinh in Ho Chi Minh City, Vietnam" "female" "" "EAS"
"749" "HG01601" "IBS024" "IBS" "Iberian populations in Spain" "male" "child" "EUR"
"750" "HG01602" "IBS024" "IBS" "Iberian populations in Spain" "female" "mother" "EUR"
"751" "HG01603" "IBS024" "IBS" "Iberian populations in Spain" "male" "father" "EUR"
"752" "HG01604" "IBS023" "IBS" "Iberian populations in Spain" "female" "child" "EUR"
"753" "HG01605" "IBS023" "IBS" "Iberian populations in Spain" "female" "mother" "EUR"
"754" "HG01606" "IBS023" "IBS" "Iberian populations in Spain" "male" "father" "EUR"
"755" "HG01607" "IBS022" "IBS" "Iberian populations in Spain" "female" "mother" "EUR"
"756" "HG01608" "IBS022" "IBS" "Iberian populations in Spain" "male" "father" "EUR"
"757" "HG01609" "IBS022" "IBS" "Iberian populations in Spain" "male" "child" "EUR"
"758" "HG01610" "IBS021" "IBS" "Iberian populations in Spain" "male" "father" "EUR"
"759" "HG01611" "IBS021" "IBS" "Iberian populations in Spain" "male" "child" "EUR"
"760" "HG01612" "IBS021" "IBS" "Iberian populations in Spain" "female" "mother" "EUR"
"761" "HG01613" "IBS020" "IBS" "Iberian populations in Spain" "female" "mother" "EUR"
"762" "HG01614" "IBS020" "IBS" "Iberian populations in Spain" "female" "child" "EUR"
"763" "HG01615" "IBS020" "IBS" "Iberian populations in Spain" "male" "father" "EUR"
"764" "HG01616" "IBS019" "IBS" "Iberian populations in Spain" "female" "child" "EUR"
"765" "HG01617" "IBS019" "IBS" "Iberian populations in Spain" "male" "father" "EUR"
"766" "HG01618" "IBS019" "IBS" "Iberian populations in Spain" "female" "mother" "EUR"
"767" "HG01619" "IBS018" "IBS" "Iberian populations in Spain" "male" "father" "EUR"
"768" "HG01620" "IBS018" "IBS" "Iberian populations in Spain" "female" "mother" "EUR"
"769" "HG01621" "IBS018" "IBS" "Iberian populations in Spain" "male" "child" "EUR"
"770" "HG01622" "IBS017" "IBS" "Iberian populations in Spain" "female" "child" "EUR"
"771" "HG01623" "IBS017" "IBS" "Iberian populations in Spain" "female" "mother" "EUR"
"772" "HG01624" "IBS017" "IBS" "Iberian populations in Spain" "male" "father" "EUR"
"773" "HG01625" "IBS016" "IBS" "Iberian populations in Spain" "male" "father" "EUR"
"774" "HG01626" "IBS016" "IBS" "Iberian populations in Spain" "female" "mother" "EUR"
"775" "HG01627" "IBS016" "IBS" "Iberian populations in Spain" "male" "child" "EUR"
"776" "HG01628" "IBS015" "IBS" "Iberian populations in Spain" "female" "mother" "EUR"
"777" "HG01629" "IBS015" "IBS" "Iberian populations in Spain" "male" "child" "EUR"
"778" "HG01630" "IBS015" "IBS" "Iberian populations in Spain" "male" "father" "EUR"
"779" "HG01631" "IBS014" "IBS" "Iberian populations in Spain" "male" "father" "EUR"
"780" "HG01632" "IBS014" "IBS" "Iberian populations in Spain" "female" "mother" "EUR"
"781" "HG01633" "IBS014" "IBS" "Iberian populations in Spain" "male" "child" "EUR"
"782" "HG01667" "IBS025" "IBS" "Iberian populations in Spain" "male" "child" "EUR"
"783" "HG01668" "IBS025" "IBS" "Iberian populations in Spain" "female" "mother" "EUR"
"784" "HG01669" "IBS025" "IBS" "Iberian populations in Spain" "male" "father" "EUR"
"785" "HG01670" "IBS026" "IBS" "Iberian populations in Spain" "female" "mother" "EUR"
"786" "HG01671" "IBS026" "IBS" "Iberian populations in Spain" "male" "child" "EUR"
"787" "HG01672" "IBS026" "IBS" "Iberian populations in Spain" "male" "father" "EUR"
"788" "HG01673" "IBS027" "IBS" "Iberian populations in Spain" "female" "mother" "EUR"
"789" "HG01674" "IBS027" "IBS" "Iberian populations in Spain" "male" "child" "EUR"
"790" "HG01675" "IBS027" "IBS" "Iberian populations in Spain" "male" "father" "EUR"
"791" "HG01676" "IBS028" "IBS" "Iberian populations in Spain" "female" "mother" "EUR"
"792" "HG01677" "IBS028" "IBS" "Iberian populations in Spain" "female" "child" "EUR"
"793" "HG01678" "IBS028" "IBS" "Iberian populations in Spain" "male" "father" "EUR"
"794" "HG01679" "IBS029" "IBS" "Iberian populations in Spain" "female" "mother" "EUR"
"795" "HG01680" "IBS029" "IBS" "Iberian populations in Spain" "male" "father" "EUR"
"796" "HG01681" "IBS029" "IBS" "Iberian populations in Spain" "female" "child" "EUR"
"797" "HG01682" "IBS030" "IBS" "Iberian populations in Spain" "male" "father" "EUR"
"798" "HG01683" "IBS030" "IBS" "Iberian populations in Spain" "male" "child" "EUR"
"799" "HG01684" "IBS030" "IBS" "Iberian populations in Spain" "female" "mother" "EUR"
"800" "HG01685" "IBS031" "IBS" "Iberian populations in Spain" "female" "mother" "EUR"
"801" "HG01686" "IBS031" "IBS" "Iberian populations in Spain" "male" "father" "EUR"
"802" "HG01687" "IBS031" "IBS" "Iberian populations in Spain" "female" "child" "EUR"
"803" "HG01694" "IBS034" "IBS" "Iberian populations in Spain" "male" "father" "EUR"
"804" "HG01695" "IBS034" "IBS" "Iberian populations in Spain" "female" "mother" "EUR"
"805" "HG01696" "IBS034" "IBS" "Iberian populations in Spain" "male" "child" "EUR"
"806" "HG01697" "IBS035" "IBS" "Iberian populations in Spain" "female" "mother" "EUR"
"807" "HG01698" "IBS035" "IBS" "Iberian populations in Spain" "male" "child" "EUR"
"808" "HG01699" "IBS035" "IBS" "Iberian populations in Spain" "male" "father" "EUR"
"809" "HG01700" "IBS036" "IBS" "Iberian populations in Spain" "male" "father" "EUR"
"810" "HG01701" "IBS036" "IBS" "Iberian populations in Spain" "male" "child" "EUR"
"811" "HG01702" "IBS036" "IBS" "Iberian populations in Spain" "female" "mother" "EUR"
"812" "HG01703" "IBS037" "IBS" "Iberian populations in Spain" "male" "child" "EUR"
"813" "HG01704" "IBS037" "IBS" "Iberian populations in Spain" "female" "mother" "EUR"
"814" "HG01705" "IBS037" "IBS" "Iberian populations in Spain" "male" "father" "EUR"
"815" "HG01706" "IBS038" "IBS" "Iberian populations in Spain" "female" "child" "EUR"
"816" "HG01707" "IBS038" "IBS" "Iberian populations in Spain" "female" "mother" "EUR"
"817" "HG01708" "IBS038" "IBS" "Iberian populations in Spain" "male" "father" "EUR"
"818" "HG01709" "IBS039" "IBS" "Iberian populations in Spain" "male" "father" "EUR"
"819" "HG01710" "IBS039" "IBS" "Iberian populations in Spain" "female" "mother" "EUR"
"820" "HG01711" "IBS039" "IBS" "Iberian populations in Spain" "female" "child" "EUR"
"821" "HG01746" "IBS041" "IBS" "Iberian populations in Spain" "female" "mother" "EUR"
"822" "HG01747" "IBS041" "IBS" "Iberian populations in Spain" "male" "father" "EUR"
"823" "HG01748" "IBS041" "IBS" "Iberian populations in Spain" "male" "child" "EUR"
"824" "HG01755" "IBS044" "IBS" "Iberian populations in Spain" "female" "child" "EUR"
"825" "HG01756" "IBS044" "IBS" "Iberian populations in Spain" "male" "father" "EUR"
"826" "HG01757" "IBS044" "IBS" "Iberian populations in Spain" "female" "mother" "EUR"
"827" "HG01761" "IBS046" "IBS" "Iberian populations in Spain" "male" "father" "EUR"
"828" "HG01762" "IBS046" "IBS" "Iberian populations in Spain" "female" "mother" "EUR"
"829" "HG01763" "IBS046" "IBS" "Iberian populations in Spain" "female" "child" "EUR"
"830" "HG01764" "IBS047" "IBS" "Iberian populations in Spain" "female" "child" "EUR"
"831" "HG01765" "IBS047" "IBS" "Iberian populations in Spain" "male" "father" "EUR"
"832" "HG01766" "IBS047" "IBS" "Iberian populations in Spain" "female" "mother" "EUR"
"833" "HG01767" "IBS048" "IBS" "Iberian populations in Spain" "male" "father" "EUR"
"834" "HG01768" "IBS048" "IBS" "Iberian populations in Spain" "female" "mother" "EUR"
"835" "HG01769" "IBS048" "IBS" "Iberian populations in Spain" "female" "child" "EUR"
"836" "HG01770" "IBS049" "IBS" "Iberian populations in Spain" "female" "mother" "EUR"
"837" "HG01771" "IBS049" "IBS" "Iberian populations in Spain" "male" "father" "EUR"
"838" "HG01772" "IBS049" "IBS" "Iberian populations in Spain" "female" "child" "EUR"
"839" "HG01773" "IBS050" "IBS" "Iberian populations in Spain" "female" "mother" "EUR"
"840" "HG01774" "IBS050" "IBS" "Iberian populations in Spain" "male" "child" "EUR"
"841" "HG01775" "IBS050" "IBS" "Iberian populations in Spain" "male" "father" "EUR"
"842" "HG01776" "IBS051" "IBS" "Iberian populations in Spain" "female" "mother" "EUR"
"843" "HG01777" "IBS051" "IBS" "Iberian populations in Spain" "male" "father" "EUR"
"844" "HG01778" "IBS051" "IBS" "Iberian populations in Spain" "male" "child" "EUR"
"845" "HG01779" "IBS052" "IBS" "Iberian populations in Spain" "female" "mother" "EUR"
"846" "HG01780" "IBS052" "IBS" "Iberian populations in Spain" "male" "child" "EUR"
"847" "HG01781" "IBS052" "IBS" "Iberian populations in Spain" "male" "father" "EUR"
"848" "HG01782" "IBS053" "IBS" "Iberian populations in Spain" "female" "child" "EUR"
"849" "HG01783" "IBS053" "IBS" "Iberian populations in Spain" "male" "father" "EUR"
"850" "HG01784" "IBS053" "IBS" "Iberian populations in Spain" "female" "mother" "EUR"
"851" "HG01785" "IBS054" "IBS" "Iberian populations in Spain" "male" "father" "EUR"
"852" "HG01786" "IBS054" "IBS" "Iberian populations in Spain" "female" "mother" "EUR"
"853" "HG01787" "IBS054" "IBS" "Iberian populations in Spain" "female" "child" "EUR"
"854" "HG01789" "HG01789" "GBR" "British in England and Scotland" "male" "" "EUR"
"855" "HG01790" "HG01790" "GBR" "British in England and Scotland" "female" "" "EUR"
"856" "HG01791" "HG01791" "GBR" "British in England and Scotland" "male" "" "EUR"
"857" "HG01794" "HG01794" "CDX" "Chinese Dai in Xishuangbanna, China" "female" "" "EAS"
"858" "HG01795" "HG01795" "CDX" "Chinese Dai in Xishuangbanna, China" "female" "" "EAS"
"859" "HG01796" "HG01796" "CDX" "Chinese Dai in Xishuangbanna, China" "female" "" "EAS"
"860" "HG01797" "HG01797" "CDX" "Chinese Dai in Xishuangbanna, China" "female" "" "EAS"
"861" "HG01798" "HG01798" "CDX" "Chinese Dai in Xishuangbanna, China" "female" "" "EAS"
"862" "HG01799" "HG01799" "CDX" "Chinese Dai in Xishuangbanna, China" "female" "" "EAS"
"863" "HG01800" "HG01800" "CDX" "Chinese Dai in Xishuangbanna, China" "female" "" "EAS"
"864" "HG01801" "HG01801" "CDX" "Chinese Dai in Xishuangbanna, China" "female" "" "EAS"
"865" "HG01802" "HG01802" "CDX" "Chinese Dai in Xishuangbanna, China" "female" "" "EAS"
"866" "HG01804" "HG01804" "CDX" "Chinese Dai in Xishuangbanna, China" "female" "" "EAS"
"867" "HG01805" "HG01805" "CDX" "Chinese Dai in Xishuangbanna, China" "female" "" "EAS"
"868" "HG01806" "HG01806" "CDX" "Chinese Dai in Xishuangbanna, China" "female" "" "EAS"
"869" "HG01807" "HG01807" "CDX" "Chinese Dai in Xishuangbanna, China" "female" "" "EAS"
"870" "HG01808" "HG01808" "CDX" "Chinese Dai in Xishuangbanna, China" "female" "" "EAS"
"871" "HG01809" "HG01809" "CDX" "Chinese Dai in Xishuangbanna, China" "female" "" "EAS"
"872" "HG01810" "HG01810" "CDX" "Chinese Dai in Xishuangbanna, China" "male" "" "EAS"
"873" "HG01811" "HG01811" "CDX" "Chinese Dai in Xishuangbanna, China" "male" "" "EAS"
"874" "HG01812" "HG01812" "CDX" "Chinese Dai in Xishuangbanna, China" "female" "" "EAS"
"875" "HG01813" "HG01813" "CDX" "Chinese Dai in Xishuangbanna, China" "female" "" "EAS"
"876" "HG01815" "HG01815" "CDX" "Chinese Dai in Xishuangbanna, China" "female" "" "EAS"
"877" "HG01816" "HG01816" "CDX" "Chinese Dai in Xishuangbanna, China" "male" "" "EAS"
"878" "HG01817" "HG01817" "CDX" "Chinese Dai in Xishuangbanna, China" "female" "" "EAS"
"879" "HG01840" "VN007" "KHV" "Kinh in Ho Chi Minh City, Vietnam" "male" "" "EAS"
"880" "HG01841" "VN008" "KHV" "Kinh in Ho Chi Minh City, Vietnam" "female" "" "EAS"
"881" "HG01842" "VN009" "KHV" "Kinh in Ho Chi Minh City, Vietnam" "male" "" "EAS"
"882" "HG01843" "VN010" "KHV" "Kinh in Ho Chi Minh City, Vietnam" "female" "" "EAS"
"883" "HG01844" "VN011" "KHV" "Kinh in Ho Chi Minh City, Vietnam" "male" "" "EAS"
"884" "HG01845" "VN012" "KHV" "Kinh in Ho Chi Minh City, Vietnam" "female" "" "EAS"
"885" "HG01846" "VN013" "KHV" "Kinh in Ho Chi Minh City, Vietnam" "male" "" "EAS"
